,cities,lat,long,d1,d2,d3,sharp2,heat2,sharp3,heat3,sharp4,heat4,sharp5,heat5,sharp6,heat6,sharp7,heat7,sharp8,heat8,sharp9,heat9,sharp10,heat10
602,于都,25.951843,115.415433,0.121757139,0.071779913,0.112202716,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
603,安福,27.393363,114.619764,0.028386262,0.115425093,0.144313535,Cluster 1,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Z,Cluster 4,Cluster 4_a,Cluster 6,Z,Cluster 3,Cluster 3_a,Cluster 4,Z,Cluster 9,Z
604,吉安县,27.039352,114.9082,0.038404987,0.135271987,0.13602684,Cluster 1,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_b,Cluster 4,Cluster 4_a,Cluster 6,Z,Cluster 3,Cluster 3_a,Cluster 4,Z,Cluster 9,Z
605,吉水,27.229656,115.135984,0.042455575,0.124310354,0.128054667,Cluster 1,Z,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_b,Cluster 4,Cluster 4_a,Cluster 6,Z,Cluster 3,Cluster 3_a,Cluster 4,Z,Cluster 9,Z
606,井冈山,26.748079,114.289241,0.055463643,0.083558146,0.111269154,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Z,Cluster 3,Z,Cluster 8,Z,Cluster 9,Cluster 9_a
607,遂川,26.313736,114.520557,0.160771766,0.063433122,0.131379483,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 3,Z,Cluster 1,Z,Cluster 4,Z,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Z
608,泰和,26.80209,114.923104,0.079991355,0.118732034,0.103377031,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
609,万安,26.45656,114.759361,0.145779828,0.08857809,0.106866887,Cluster 1,Cluster 1_a,Cluster 3,Cluster 3_b,Cluster 4,Z,Cluster 1,Cluster 1_b,Cluster 4,Cluster 4_a,Cluster 4,Cluster 4_a,Cluster 8,Cluster 8_a,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
610,峡江,27.582882,115.316409,0.053499139,0.118038202,0.129839893,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Z,Cluster 3,Z,Cluster 8,Cluster 8_b,Cluster 9,Cluster 9_a
611,新干,27.740333,115.386981,0.078407985,0.119516217,0.110573919,Cluster 1,Cluster 1_b,Cluster 3,Cluster 3_a,Cluster 4,Cluster 4_a,Cluster 1,Cluster 1_a,Cluster 4,Cluster 4_a,Cluster 4,Z,Cluster 3,Z,Cluster 8,Cluster 8_a,Cluster 9,Cluster 9_a
